system:index,blue_mean,blue_median,blue_p25,blue_p75,blue_stdDev,evi_mean,evi_median,evi_p25,evi_p75,evi_stdDev,green_mean,green_median,green_p25,green_p75,green_stdDev,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,ndvi_stdDev,ndwi_mean,ndwi_median,ndwi_p25,ndwi_p75,ndwi_stdDev,nir_mean,nir_median,nir_p25,nir_p75,nir_stdDev,red_mean,red_median,red_p25,red_p75,red_stdDev,stable_crop,swir1_mean,swir1_median,swir1_p25,swir1_p75,swir1_stdDev,swir2_mean,swir2_median,swir2_p25,swir2_p75,swir2_stdDev,thermal_mean,thermal_median,thermal_p25,thermal_p75,thermal_stdDev,x,y,.geo
00000000000000000000,0.0592596875,0.058046249999999994,0.03929125,0.07774999999999999,0.028413641482537513,0.20460886615747712,0.13556095796030343,0.03126827084782485,0.37874130760278224,0.18984902637806608,0.08460609375,0.09726125,0.043196250000000005,0.1082475,0.04301044769184192,0.3000204407809432,0.23342403097040965,0.16770764136234123,0.5005388044979209,0.2259644833224812,-0.3257072769942892,-0.34342314027712134,-0.5321213551739407,-0.19886986787707725,0.23575110087569773,0.22016963541666656,0.2243525,0.05625875000000001,0.37391125,0.14635025987637582,0.09526177083333333,0.09478624999999999,0.04495624999999999,0.13649,0.05840145632405414,1,0.21578624999999999,0.27437500000000004,0.04613874999999999,0.31697250000000005,0.1370659399733619,0.14140046875000004,0.163385,0.044585,0.20332875,0.09066542428825229,293.99034334625,295.18700639,284.43049745,303.0501614,10.794951749762108,80.76046674115366,30.030556651726766,"{""type"":""Point"",""coordinates"":[80.760467,30.03055700000001]}"
00000000000000000001,0.06143535714285717,0.0629825,0.052779999999999994,0.07043500000000003,0.01569089131974854,0.25515686056955705,0.1899842500946353,0.17491179531341927,0.24847804498942183,0.14320624180351135,0.09147464285714291,0.09004250000000001,0.08088499999999998,0.10177124999999998,0.015647362079628902,0.38852603054000573,0.3189761343038051,0.283002335848792,0.4115513290278305,0.16748593687235722,-0.4728366364704248,-0.4395968682325503,-0.4855472618256349,-0.39387821608259893,0.1095705579896268,0.265735,0.24528,0.218605,0.28926625,0.06907846474170828,0.1137428571428572,0.1197425,0.09658749999999999,0.13347874999999998,0.03247791003206666,1,0.31719785714285725,0.31661500000000004,0.27558499999999997,0.372605,0.07058372483426707,0.22226392857142863,0.23778625,0.17441250000000003,0.2772075,0.06604189769782959,298.9093855345454,299.7175919,295.15966223,303.18859121,6.442945988854309,80.59762010992817,29.928070116122583,"{""type"":""Point"",""coordinates"":[80.59762,29.928070000000005]}"
00000000000000000002,0.08300971875000002,0.08276874999999997,0.06769875,0.09537749999999998,0.025025195575514872,0.20744565334043882,0.15056774608945556,0.12238997446816953,0.25617335620296366,0.12848594982898698,0.12262381250000001,0.125318125,0.10790374999999999,0.138119375,0.02499101290018742,0.29547876506733445,0.22544364829699193,0.18530161876623694,0.37152626540886124,0.1606259455025357,-0.3968967249147083,-0.3731345516402964,-0.4431512458005361,-0.31823265896936026,0.11224624173540752,0.2870586874999999,0.27870625000000004,0.25987333333333335,0.29775687500000003,0.04960165630578687,0.15646840625000005,0.166155625,0.130020625,0.18963375,0.04249602881491485,1,0.34724621875,0.36324124999999996,0.29207125,0.415745625,0.08525311462234976,0.26690668749999996,0.29300625,0.217065,0.33977,0.08164490820369558,301.83496983950005,303.02452625,299.24590514,305.18898741500004,6.267729110541489,81.87108523324754,29.96626725625508,"{""type"":""Point"",""coordinates"":[81.871085,29.96626699999999]}"
00000000000000000003,0.04726450704225352,0.04850375,0.03817749999999999,0.055021249999999994,0.011610995302078111,0.2292811000930931,0.17451439715755618,0.0951668216528752,0.36859192870936636,0.1460526008510973,0.0605167957746479,0.05873833333333334,0.049383750000000004,0.07202999999999998,0.01315177799648605,0.425641545115554,0.39433656307374787,0.27716991859771734,0.5651771338170489,0.18279616769440604,-0.45197260331042965,-0.4413143122006491,-0.5611314173135323,-0.335904728048347,0.14434595506717035,0.1784104577464789,0.1527425,0.10496125,0.2586175,0.07733318342409835,0.06327531690140843,0.06521000000000002,0.05299999999999999,0.07388625,0.013698137974428396,1,0.16825676056338026,0.16511750000000003,0.14597749999999998,0.1927641666666667,0.031750514555535465,0.11347133802816903,0.11459999999999998,0.09438750000000001,0.13219999999999998,0.0255033903498424,293.84707033830983,293.81808938,286.89659888,300.81477631999996,7.594335674976146,81.84888613639478,29.94218301982773,"{""type"":""Point"",""coordinates"":[81.848886,29.942183]}"
00000000000000000004,0.05248102564102565,0.050722083333333334,0.04161499999999999,0.05869249999999998,0.0176745056573051,0.18081856644612013,0.14542656438433152,0.10685800629508554,0.2336625316848195,0.10240796276986391,0.07534339743589742,0.07103083333333333,0.06193749999999998,0.08374500000000001,0.01954316585321855,0.3385535880554552,0.2779413692673238,0.22866579764973402,0.4347707658342175,0.1474706035617876,-0.41904919477422525,-0.38113798842414803,-0.48462259518814443,-0.3430467238042576,0.10090003859041914,0.18740660256410266,0.1763925,0.1485625,0.22592,0.04873816036862364,0.09102967948717948,0.088035,0.07344624999999999,0.10962250000000001,0.02610262656974541,1,0.20671336538461532,0.206195625,0.17134625,0.23460999999999999,0.04599416185399814,0.15238253205128208,0.15061125000000003,0.11014499999999999,0.19019750000000002,0.05029890179112459,293.5031056907691,294.6475289,285.617404895,297.84109892000004,8.014796573936254,80.5837780144959,29.87621444311198,"{""type"":""Point"",""coordinates"":[80.58377800000001,29.876214000000004]}"
00000000000000000005,0.0605270394736842,0.0594625,0.049115624999999996,0.07091624999999999,0.014156335971683462,0.21287267532699503,0.16120513356005994,0.11025034273368417,0.28807318786229674,0.12914197787901893,0.08258710526315789,0.08016999999999999,0.07109499999999999,0.094855,0.014779472712514886,0.3513311477060301,0.30435135769798605,0.22262086692631167,0.4425672350838015,0.1587553704969784,-0.424317394139977,-0.40050179268141023,-0.4757507061245677,-0.34318785203328406,0.11669345217735164,0.2142563815789473,0.19342875,0.15977791666666666,0.26271500000000003,0.06527373198111598,0.09752792763157893,0.09853999999999999,0.0864675,0.10940249999999999,0.01969564616090122,1,0.25379884868421054,0.249878,0.23335416666666667,0.2884,0.044254890181839826,0.1871486184210527,0.19139375,0.15694999999999998,0.21641875000000002,0.04604421358867037,297.9648672231579,298.27518746,291.32464379,304.48231178,8.864218238895116,81.86622990481807,29.93114395293358,"{""type"":""Point"",""coordinates"":[81.86623,29.931144000000003]}"
00000000000000000006,0.05492024691358025,0.056419166666666666,0.04598749999999999,0.06273500000000001,0.013978834251746376,0.2607093028147183,0.18246586636187978,0.15430739086304565,0.36415523743194644,0.1471923425063808,0.07906558641975309,0.07897375000000001,0.07014166666666667,0.08633916666666668,0.012498274407261192,0.4155844484442308,0.31382756913825227,0.28250508196012275,0.5816605636187067,0.17947012396540865,-0.48710888892812343,-0.4443669688661466,-0.5773100076764575,-0.40102897834716084,0.11749217327974613,0.2400478703703704,0.22190500000000002,0.19653625,0.292023125,0.06176570089303005,0.09498299382716045,0.10093250000000001,0.0713975,0.1165525,0.026003658581682056,1,0.24374712962962963,0.237745,0.21133125,0.2759975,0.04395349592149441,0.15587953703703702,0.1634675,0.12062250000000002,0.1908575,0.044002844286069445,300.37545525555544,300.43195807999996,297.04811828,303.53210221999996,5.637240173808373,80.56449108117694,29.863183362629993,"{""type"":""Point"",""coordinates"":[80.56449100000002,29.863182999999996]}"
00000000000000000007,0.059470787671232886,0.05808062499999998,0.05224833333333334,0.06817999999999999,0.018982296816893392,0.23967910864572398,0.21317217562900848,0.10467744929942015,0.35415294892296134,0.14382682535503225,0.07603934931506849,0.077495625,0.06984374999999998,0.08275041666666665,0.016610550065051837,0.3947753983743081,0.39257407543562983,0.21811927246963192,0.5492483863591892,0.1985383220154237,-0.4374333833095132,-0.4437234439723373,-0.5566658577322238,-0.30623234050783055,0.1533499090838314,0.20862061643835617,0.21073999999999998,0.14606,0.260865625,0.0655354201793115,0.08434585616438356,0.08653624999999998,0.07029750000000001,0.09713749999999999,0.02366864502309572,1,0.20295335616438356,0.2084025,0.17823499999999998,0.23697500000000002,0.05159157643894325,0.14323126712328765,0.14127499999999998,0.0981275,0.1958075,0.052433376884325505,292.4323866142465,293.50021352,288.32362222999996,297.91515602,7.533725377174852,81.8772488142732,29.915769834167754,"{""type"":""Point"",""coordinates"":[81.877249,29.915770000000002]}"
00000000000000000008,0.07815647260273971,0.07697999999999999,0.05882999999999999,0.08952916666666666,0.027000680984041684,0.2763299884360365,0.1995650172953874,0.15819284295515992,0.35738695641097273,0.1594577632588679,0.11072702054794518,0.10801374999999999,0.09128,0.12724083333333333,0.0252818293947274,0.3757991798310617,0.2918257308368757,0.23121441376381366,0.5133274160144167,0.1886761526232302,-0.4647685607731975,-0.44990921831564973,-0.5430235860743658,-0.36653190389275453,0.13174827507025588,0.30973547945205476,0.30512916666666673,0.281855,0.32481,0.058423247635893356,0.1398193835616438,0.1442175,0.09924125,0.179995,0.04590872208886174,1,0.36245636986301355,0.3659866666666667,0.29599,0.435965,0.08177614062919447,0.24607373287671236,0.270635,0.1879425,0.30311249999999995,0.06965755009172639,303.2181594241094,302.85362525,299.65264951999995,306.41178407,6.6278482483734065,81.86369682813141,29.892896980126103,"{""type"":""Point"",""coordinates"":[81.863697,29.892897]}"
00000000000000000009,0.07881397887323942,0.08478999999999998,0.06207499999999999,0.09926875000000002,0.026420449075044504,0.20849129155924984,0.13617145738622763,0.10320340239572352,0.2423940245270536,0.15514507990941878,0.10866968309859155,0.11174,0.08646749999999997,0.13045374999999998,0.027730679360673825,0.30772977440801874,0.22915318072147356,0.15848199557563972,0.37695743784239366,0.2034150740452524,-0.3852321510918445,-0.3410687447100596,-0.45420268530439567,-0.26787722957643556,0.15520138537918732,0.25101936619718307,0.2253333333333333,0.20787999999999998,0.28444,0.06083718965130421,0.13037299295774646,0.14234750000000002,0.11336249999999998,0.15887500000000002,0.039031005796538225,1,0.29534471830985903,0.31745833333333334,0.2829825,0.33976999999999996,0.06420518427489187,0.23107644366197183,0.25329625,0.20152750000000003,0.29027000000000003,0.07803280050864639,298.33584527971846,297.7009601,292.63545446,303.81807655999995,7.771949496992098,81.86640221434511,29.8746907292431,"{""type"":""Point"",""coordinates"":[81.866402,29.874691]}"
